date,coin,pnl
2021-03-21 20:27:16.229950,ADA,2.2814600399999847
2021-03-21 20:27:16.229950,ATOM,-1.4543468557000097
2021-03-21 20:27:16.229950,BCH,-25.26537511517499
2021-03-21 20:27:16.229950,BTC,29.717019500000102
2021-03-21 20:27:16.229950,DAI,0.1693544619872611
2021-03-21 20:27:16.229950,DASH,-22.30932918350172
2021-03-21 20:27:16.229950,ETH,337.9932200402702
2021-03-21 20:27:16.229950,GRT,-23.20126417
2021-03-21 20:27:16.229950,LINK,-11.62837314931113
2021-03-21 20:27:16.229950,LTC,-12.423286900516004
2021-03-21 20:27:16.229950,UNI,9.614228419623998
2021-03-21 20:27:16.229950,XLM,-17.554426345433995
2021-03-21 20:27:16.229950,TOTAL,265.93888074224367
2021-03-21 20:29:31.178515,ADA,1.8355503550879464
2021-03-21 20:29:31.178515,ATOM,-1.5349685785517837
2021-03-21 20:29:31.178515,BCH,-25.325726811292185
2021-03-21 20:29:31.178515,BTC,28.636525590299925
2021-03-21 20:29:31.178515,DAI,0.173885173226898
2021-03-21 20:29:31.178515,DASH,-22.365650924487213
2021-03-21 20:29:31.178515,ETH,337.00713929354265
2021-03-21 20:29:31.178515,GRT,-23.18914019991701
2021-03-21 20:29:31.178515,LINK,-11.65620398335247
2021-03-21 20:29:31.178515,LTC,-12.494570903655074
2021-03-21 20:29:31.178515,UNI,9.27814256536557
2021-03-21 20:29:31.178515,XLM,-17.62134227456157
2021-03-21 20:29:31.178515,TOTAL,262.7436393017056
2021-03-21 20:30:07.194257,ADA,1.9420495924639736
2021-03-21 20:30:07.194257,ATOM,-1.5393186013429556
2021-03-21 20:30:07.194257,BCH,-25.32898314524673
2021-03-21 20:30:07.194257,BTC,28.57822649960008
2021-03-21 20:30:07.194257,DAI,0.1759642307199111
2021-03-21 20:30:07.194257,DASH,-22.36868981832697
2021-03-21 20:30:07.194257,ETH,335.7338492497654
2021-03-21 20:30:07.194257,GRT,-23.192494755243985
2021-03-21 20:30:07.194257,LINK,-11.73526948630743
2021-03-21 20:30:07.194257,LTC,-12.47393317250561
2021-03-21 20:30:07.194257,UNI,9.70944004327282
2021-03-21 20:30:07.194257,XLM,-17.512276967073262
2021-03-21 20:30:07.194257,TOTAL,261.98856366977526
2021-03-21 20:31:59.523992,ADA,2.159835971831967
2021-03-21 20:31:59.523992,ATOM,-1.500987683026068
2021-03-21 20:31:59.523992,BCH,-25.300289440221263
2021-03-21 20:31:59.523992,BTC,29.09193821810004
2021-03-21 20:31:59.523992,DAI,0.1569235533119215
2021-03-21 20:31:59.523992,DASH,-22.393521994418634
2021-03-21 20:31:59.523992,ETH,337.6733467440147
2021-03-21 20:31:59.523992,GRT,-22.964910288887
2021-03-21 20:31:59.523992,LINK,-11.689623770552274
2021-03-21 20:31:59.523992,LTC,-12.489019569289738
2021-03-21 20:31:59.523992,UNI,9.765380189080489
2021-03-21 20:31:59.523992,XLM,-17.593138173777575
2021-03-21 20:31:59.523992,TOTAL,264.91593375616657
2021-03-21 20:34:47.666477,ADA,2.8041752959999826
2021-03-21 20:34:47.666477,ATOM,-1.69579088095999
2021-03-21 20:34:47.666477,BCH,-25.32826914401599
2021-03-21 20:34:47.666477,BTC,29.978450400000156
2021-03-21 20:34:47.666477,DAI,0.17637389875829257
2021-03-21 20:34:47.666477,DASH,-22.301667559260935
2021-03-21 20:34:47.666477,ETH,337.7808767983922
2021-03-21 20:34:47.666477,GRT,-22.839450240000005
2021-03-21 20:34:47.666477,LINK,-11.645321448685635
2021-03-21 20:34:47.666477,LTC,-12.406039379795203
2021-03-21 20:34:47.666477,UNI,9.960685824345617
2021-03-21 20:34:47.666477,XLM,-17.538235702044787
2021-03-21 20:34:47.666477,TOTAL,266.9457878627337
